"Story","Title","Result","Date","Stability","Duration (s)"
"Checking Add New Update options","I check the Title, Test and Tags are displayed","SUCCESS","2021-07-30T15:56:49.994+01:00[Europe/London]","0.0","5.36"
"Verifying I can see all friends updates","I want all friends updates","SUCCESS","2021-07-30T15:56:55.42+01:00[Europe/London]","0.0","1.93"
